id,ACTION
1,0.954
2,0.9960000000000001
3,1.0
4,1.0
5,1.0
6,1.0
7,0.9800000000000001
8,0.9960000000000001
9,0.9179999999999999
10,0.998
11,0.8720000000000001
12,1.0
13,0.9339999999999999
14,0.976
15,0.99
16,0.954
17,0.9139999999999999
18,0.9879999999999999
19,0.998
20,0.992
21,1.0
22,1.0
23,0.9780000000000001
24,0.982
25,0.992
26,0.954
27,0.96
28,0.984
29,0.9960000000000001
30,0.9460000000000001
31,0.998
32,0.99
33,0.992
34,0.9879999999999999
35,0.986
36,1.0
37,0.992
38,0.976
39,0.9799999999999999
40,0.8939999999999999
41,0.9800000000000001
42,0.978
43,0.9960000000000001
44,0.998
45,0.9879999999999999
46,0.976
47,1.0
48,0.994
49,1.0
50,0.962
51,0.95
52,0.998
53,0.986
54,1.0
55,0.9400000000000001
56,0.994
57,0.9960000000000001
58,1.0
59,0.95
60,0.9299999999999999
61,1.0
62,0.986
63,0.992
64,1.0
65,0.9880000000000001
66,0.974
67,0.9199999999999999
68,0.998
69,0.968
70,0.56
71,0.966
72,0.9879999999999999
73,1.0
74,1.0
75,1.0
76,1.0
77,0.984
78,0.8460000000000001
79,0.46799999999999997
80,1.0
81,0.9719999999999999
82,1.0
83,0.976
84,0.994
85,1.0
86,0.992
87,0.998
88,1.0
89,1.0
90,0.658
91,0.998
92,0.506
93,0.998
94,0.986
95,0.9639999999999999
96,0.9540000000000001
97,0.28600000000000003
98,0.906
99,0.998
100,0.994
101,0.8640000000000001
102,0.906
103,1.0
104,0.984
105,0.5359999999999999
106,0.994
107,1.0
108,0.986
109,1.0
110,0.9800000000000001
111,0.522
112,0.986
113,0.9720000000000001
114,0.966
115,0.9960000000000001
116,0.9960000000000001
117,0.998
118,0.986
119,0.992
120,0.9960000000000001
121,0.97
122,0.994
123,0.994
124,0.96
125,0.998
126,0.974
127,0.986
128,0.958
129,0.9780000000000001
130,0.866
131,0.998
132,1.0
133,0.966
134,0.9960000000000001
135,0.998
136,0.994
137,0.998
138,0.99
139,0.8019999999999999
140,1.0
141,1.0
142,0.9600000000000002
143,1.0
144,0.9739999999999999
145,0.9940000000000001
146,0.702
147,0.9800000000000001
148,0.9800000000000001
149,1.0
150,0.9960000000000001
151,0.998
152,0.746
153,0.998
154,0.998
155,0.998
156,0.984
157,0.93
158,0.9720000000000001
159,0.8099999999999999
160,0.9960000000000001
161,0.916
162,0.9960000000000001
163,0.992
164,0.968
165,1.0
166,0.9899999999999999
167,0.9800000000000001
168,0.908
169,0.944
170,0.994
171,0.994
172,0.966
173,0.998
174,0.9860000000000001
175,0.982
176,0.9899999999999999
177,0.9359999999999999
178,0.994
179,0.9960000000000001
180,0.9780000000000001
181,0.8059999999999998
182,0.9720000000000001
183,0.8700000000000001
184,0.7819999999999999
185,0.9940000000000001
186,0.994
187,0.998
188,0.97
189,0.6060000000000001
190,0.99
191,0.998
192,0.9720000000000001
193,1.0
194,0.9880000000000001
195,0.9960000000000001
196,1.0
197,0.9940000000000001
198,0.9960000000000001
199,0.9960000000000001
200,0.318
201,0.9880000000000001
202,0.9120000000000001
203,0.992
204,0.976
205,0.924
206,0.9799999999999999
207,0.9860000000000001
208,0.986
209,0.41200000000000003
210,0.5740000000000001
211,0.9800000000000001
212,0.9299999999999999
213,1.0
214,0.992
215,0.998
216,0.992
217,0.9960000000000001
218,0.9800000000000001
219,1.0
220,0.998
221,0.724
222,0.9960000000000001
223,0.9960000000000001
224,0.982
225,0.992
226,0.8560000000000001
227,0.9259999999999999
228,0.998
229,1.0
230,0.99
231,0.9780000000000001
232,0.796
233,0.916
234,0.254
235,0.998
236,0.716
237,1.0
238,0.916
239,0.944
240,0.998
241,0.9960000000000001
242,0.7220000000000001
243,0.238
244,0.986
245,0.992
246,0.978
247,0.9780000000000001
248,0.974
249,0.992
